Date,Time,TM°C,TX°C,TN°C,HRM%,PPTmm,VVM (10 m)km/h,DVM (10 m)graus,VVX (10 m)km/h,PMhPa,RSW/m2
2024-03-01,01:00,11.1,11.1,11.0,85,0.0,13.0,34,28.1,1008.6,0
2024-03-01,01:30,11.0,11.1,10.8,82,0.0,4.7,327,14.4,1008.8,0
2024-03-01,02:00,10.7,11.0,10.6,83,0.1,9.7,313,21.2,1009.1,0
2024-03-01,02:30,10.7,10.9,10.6,80,0.0,10.1,328,21.2,1008.5,0
2024-03-01,03:00,10.9,11.4,10.6,72,0.0,15.5,328,32.0,1008.4,0
2024-03-01,03:30,10.8,11.0,10.5,71,0.0,11.2,352,33.1,1008.6,0
2024-03-01,04:00,10.5,11.0,10.2,73,0.0,13.7,321,26.3,1008.6,0
2024-03-01,04:30,9.8,10.1,9.5,78,0.0,15.1,299,28.4,1008.8,0
2024-03-01,05:00,9.7,9.9,9.4,77,0.0,16.2,299,31.7,1009.0,0
2024-03-01,05:30,10.0,10.0,9.9,72,0.0,20.2,303,44.3,1009.4,0
2024-03-01,06:00,9.6,9.9,9.2,69,0.0,19.4,308,38.9,1009.7,0
2024-03-01,06:30,9.0,9.2,8.8,65,0.0,17.6,307,39.2,1010.0,0
2024-03-01,07:00,8.9,8.9,8.8,62,0.0,20.5,317,39.2,1010.2,0
2024-03-01,07:30,8.9,8.9,8.9,60,0.0,22.7,317,42.5,1010.4,34
2024-03-01,08:00,9.0,9.1,8.9,59,0.0,23.4,314,44.3,1010.7,101
2024-03-01,08:30,9.3,9.5,9.1,58,0.0,21.6,314,45.7,1011.0,210
2024-03-01,09:00,9.7,10.2,9.4,56,0.0,23.0,311,43.6,1011.0,311
2024-03-01,09:30,10.6,11.0,10.2,53,0.0,22.3,303,43.2,1011.0,401
2024-03-01,10:00,11.5,12.1,11.0,48,0.0,20.2,305,41.4,1011.2,486
2024-03-01,10:30,12.8,13.3,12.1,44,0.0,14.0,301,35.6,1011.6,558
2024-03-01,11:00,13.8,14.2,13.5,41,0.0,14.8,298,32.4,1011.7,617
2024-03-01,11:30,14.9,15.6,13.9,38,0.0,13.7,292,30.2,1011.5,667
2024-03-01,12:00,15.7,16.2,15.4,34,0.0,16.6,291,31.7,1011.4,701
2024-03-01,12:30,16.1,16.6,15.6,31,0.0,17.3,304,33.5,1011.0,720
2024-03-01,13:00,17.3,17.9,16.6,28,0.0,12.6,293,27.4,1010.6,718
2024-03-01,13:30,17.9,18.4,17.2,25,0.0,13.7,305,31.3,1010.2,705
2024-03-01,14:00,18.0,18.4,17.7,23,0.0,15.1,302,33.1,1009.9,676
2024-03-01,14:30,18.2,18.6,17.7,24,0.0,14.8,297,29.9,1009.6,634
2024-03-01,15:00,18.5,18.9,18.0,23,0.0,14.4,301,28.8,1009.4,574
2024-03-01,15:30,18.6,19.4,18.1,24,0.0,12.2,291,26.6,1009.4,496
2024-03-01,16:00,18.6,18.9,18.3,24,0.0,12.6,289,26.3,1009.4,402
2024-03-01,16:30,18.0,18.5,17.5,26,0.0,14.8,297,26.6,1009.3,321
2024-03-01,17:00,17.3,17.7,16.8,27,0.0,14.0,310,29.5,1009.4,192
2024-03-01,17:30,16.6,16.8,16.2,29,0.0,13.0,306,26.3,1009.6,121
2024-03-01,18:00,16.0,16.2,15.6,31,0.0,13.7,300,29.2,1009.8,49
2024-03-01,18:30,15.3,15.6,14.9,34,0.0,11.2,295,23.0,1010.1,1
2024-03-01,19:00,14.6,14.9,14.2,36,0.0,7.9,286,19.4,1010.4,0
2024-03-01,19:30,13.9,14.2,13.8,38,0.0,6.8,283,13.0,1010.8,0
2024-03-01,20:00,13.4,13.9,13.0,40,0.0,4.7,252,9.4,1010.8,0
2024-03-01,20:30,13.1,13.7,12.5,41,0.0,4.7,253,10.4,1011.1,0
2024-03-01,21:00,12.1,12.4,11.8,44,0.0,5.0,289,10.4,1011.2,0
2024-03-01,21:30,12.3,12.6,11.8,45,0.0,6.8,265,13.7,1011.2,0
2024-03-01,22:00,12.5,12.7,12.3,58,0.0,7.6,258,14.4,1011.3,0
2024-03-01,22:30,11.7,12.4,11.1,59,0.0,4.3,274,8.3,1011.1,0
2024-03-01,23:00,11.1,11.4,10.9,61,0.0,4.7,294,7.6,1010.8,0
2024-03-01,23:30,11.3,11.8,10.8,62,0.0,4.7,243,8.3,1010.6,0
2024-03-01,00:00,10.8,11.1,10.5,64,0.0,2.2,331,9.7,1010.5,0
2024-03-01,00:30,10.2,10.6,9.8,65,0.0,1.4,161,5.4,1010.2,0
2024-03-02,01:00,10.3,10.5,10.1,66,0.0,3.6,218,6.8,1010.0,0
2024-03-02,01:30,11.3,11.8,10.3,53,0.0,7.6,235,13.7,1009.9,0
2024-03-02,02:00,11.3,11.6,11.1,51,0.0,7.9,261,17.3,1009.7,0
2024-03-02,02:30,11.5,11.6,11.2,51,0.0,10.4,269,19.1,1009.4,0
2024-03-02,03:00,11.5,11.7,11.2,51,0.0,10.4,284,18.0,1009.1,0
2024-03-02,03:30,11.5,11.7,11.3,51,0.0,8.6,291,17.3,1008.7,0
2024-03-02,04:00,11.2,11.4,11.1,53,0.0,7.6,280,15.5,1008.3,0
2024-03-02,04:30,10.9,11.3,10.3,54,0.0,7.2,272,15.1,1008.3,0
2024-03-02,05:00,10.3,10.6,10.0,56,0.0,6.8,300,10.4,1008.2,0
2024-03-02,05:30,10.4,10.9,10.0,54,0.0,2.9,310,8.3,1008.0,0
2024-03-02,06:00,10.0,10.5,9.6,55,0.0,2.2,227,5.0,1007.8,0
2024-03-02,06:30,9.2,9.7,9.0,59,0.0,1.4,179,5.4,1007.8,0
2024-03-02,07:00,9.1,9.4,8.7,59,0.0,1.8,265,5.4,1007.6,1
2024-03-02,07:30,9.4,10.1,8.9,58,0.0,3.6,248,6.1,1007.6,41
2024-03-02,08:00,11.7,12.9,10.2,50,0.0,3.2,292,8.3,1007.6,123
2024-03-02,08:30,13.2,13.9,12.8,46,0.0,3.2,203,9.0,1007.4,214
2024-03-02,09:00,13.7,14.1,13.4,44,0.0,5.4,226,11.5,1007.4,291
2024-03-02,09:30,14.7,15.5,13.6,44,0.0,3.6,209,10.4,1007.2,384
2024-03-02,10:00,16.0,16.5,15.5,45,0.0,7.2,205,17.3,1006.8,468
2024-03-02,10:30,17.0,17.3,16.7,42,0.0,12.2,221,23.0,1006.4,546
2024-03-02,11:00,17.3,17.6,17.0,42,0.0,13.0,216,23.8,1005.9,620
2024-03-02,11:30,16.6,17.6,15.8,49,0.0,12.6,210,24.8,1005.4,439
2024-03-02,12:00,16.5,17.1,16.0,57,0.0,12.6,209,23.4,1004.9,605
2024-03-02,12:30,16.8,17.3,15.8,57,0.0,13.7,199,27.7,1004.4,509
2024-03-02,13:00,15.3,15.9,14.8,65,0.0,17.3,213,32.0,1003.9,364
2024-03-02,13:30,14.7,15.1,14.2,67,0.0,16.6,216,31.0,1003.4,322
2024-03-02,14:00,14.4,14.8,14.1,64,0.0,14.0,221,32.0,1003.0,317
2024-03-02,14:30,14.7,15.1,14.4,60,0.0,14.4,220,28.1,1002.6,311
2024-03-02,15:00,14.3,14.7,14.1,63,0.0,18.0,221,35.6,1002.4,272
2024-03-02,15:30,14.7,15.2,14.4,57,0.0,15.1,241,34.2,1002.1,252
2024-03-02,16:00,15.3,15.6,14.8,41,0.0,11.9,247,30.2,1001.6,205
2024-03-02,16:30,14.7,15.2,14.3,55,0.0,13.7,225,29.9,1001.3,117
2024-03-02,17:00,14.2,14.3,14.2,65,0.0,14.0,241,32.0,1001.0,67
2024-03-02,17:30,14.2,14.3,14.2,64,0.0,11.9,243,25.2,1000.6,30
2024-03-02,18:00,14.0,14.2,13.9,67,0.0,10.4,235,21.6,1000.3,10
2024-03-02,18:30,14.1,14.2,14.0,65,0.0,13.0,241,31.3,1000.1,0
2024-03-02,19:00,14.0,14.0,13.9,65,0.0,10.4,241,21.2,1000.1,0
2024-03-02,19:30,13.9,14.0,13.8,65,0.0,12.2,239,29.2,1000.2,0
2024-03-02,20:00,13.9,13.9,13.8,68,0.0,16.9,244,34.9,1000.1,0
2024-03-02,20:30,14.0,14.2,13.9,65,0.0,18.7,243,35.3,999.6,0
2024-03-02,21:00,14.2,14.3,14.1,62,0.0,16.9,244,36.0,999.3,0
2024-03-02,21:30,14.4,14.4,14.3,59,0.0,16.2,242,37.4,999.2,0
