Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,1956.36792,1719.60278,62.4889984,23.8498192,0.000376926,294.860657,0,0.12234661,1812.25415,0.018101703,0,35.4177475,0.048459597,0.00710737,-0.01498831,298.976349,0.068624206,0,0.13359502,0
7200,1956.36792,1719.60278,62.4889984,22.1113396,0.000208743,292.240387,0,0.058719993,1768.26318,0.007650323,0,28.1299686,-0.012074591,0.003175567,0.030794552,297.145264,0.044668865,0,0.069679461,0
10800,1956.36792,1719.60278,62.4889984,20.1369839,0.000282974,291.513885,0,0.116122976,1759.58325,0.005550645,0,39.686985,-0.080203973,0.004484416,0.164346173,296.779938,0.05356092,0,0.229239851,0
14400,1956.36792,1719.60278,62.4889984,20.6121349,0.000250538,291.162415,0,0.051870134,1742.76514,0.01007038,0,16.9703789,-0.060949221,0.003938613,-0.05997707,296.068207,0.05015837,0,0.101999216,0
18000,1956.36792,1719.60278,62.4889984,19.6670418,0.000903594,290.652069,0,0.097955525,1735.38428,0.038701683,0,15.6009045,0.101656832,0.014503337,-0.062252671,295.754242,0.09737999,0,0.155975655,0
21600,1956.36792,1719.60278,62.4889984,19.2098312,0.000775465,290.765442,0,0.123692073,1727.39172,0.031765327,0,26.2252445,0.140513778,0.013124262,-0.078566037,295.413116,0.092556663,0,0.204056337,0
25200,1956.36792,1719.60278,62.4889984,19.6680565,0.000708555,291.305145,0,0.145729572,1724.43115,0.027003674,0,33.7047615,0.091617927,0.011776622,-0.024581317,295.286469,0.088038564,0,0.175772399,0
28800,1956.36792,1719.60278,62.4889984,22.0864983,0.000683079,293.996094,0,0.065650575,1730.71594,0.023511868,0,23.2661667,-0.010646613,0.011272776,-0.023700332,295.555115,0.086200573,0,0.081014037,0
32400,1956.36792,1719.60278,62.4889984,23.0242271,8.36E-04,295.454498,0,0.098981433,1752.79321,0.029373933,0,-3.27503371,0.014820202,0.013942979,0.051797167,296.493195,0.09591613,0,0.121462613,0
36000,1956.36792,1719.60278,62.4889984,24.6805,5.15E-04,297.020203,0,0.063223258,1777.94348,0.031153811,0,-57.0718956,-0.004530146,0.009097267,-0.058298774,297.551086,0.076991312,0,0.087190099,0
39600,1956.36792,1719.60278,62.4889984,24.9616337,1.03E-03,299.104279,0,0.193232238,1809.33105,0.041098401,0,-87.316597,0.332863659,0.018103529,-0.23513189,298.855713,0.109056719,0,0.454931349,0
43200,1956.36792,1719.60278,62.4889984,27.4007168,3.55E-04,299.890839,0,0.11088001,1845.88574,0.00971053,0,-68.80513,0.079049781,0.005269009,-0.012646051,300.353851,0.058190044,0,0.139951169,0
46800,1956.36792,1719.60278,62.4889984,28.7913799,0.000479067,300.274017,0,0.046480935,1892.27258,0.016949471,0,-87.4690857,0.087245524,0.007551751,-0.051254869,302.223175,0.069872834,0,0.113682806,0
50400,1956.36792,1719.60278,62.4889984,30.6860447,0.003019487,304.454437,0,0.642529905,1949.99731,0.25679487,0,-80.7330017,0.701111019,0.064913385,-0.017264269,304.502045,0.207866982,0,0.951195002,0
54000,1956.36792,1719.60278,62.4889984,32.7298508,0.005505932,305.570648,0,0.797135115,2028.61511,0.311966628,0,-84.5560455,0.812794387,0.103185669,-0.003644359,307.525818,0.262218267,0,1.13847089,0
57600,1956.36792,1719.60278,62.4889984,33.5057793,0.004786938,305.98761,0,1.27526307,2084.77783,0.219224349,0,-67.4934082,0.951739073,0.085287899,0.049721662,309.632568,0.238330692,0,1.59216249,0
61200,1956.36792,1719.60278,62.4889984,34.2881584,0.004590318,305.844147,0,0.995020449,2119.50586,0.225445747,0,-69.3677521,0.696690738,0.083267935,0.022484547,310.914154,0.235510781,0,1.21500564,0
64800,1956.36792,1719.60278,62.4889984,33.6646004,0.005819569,305.621735,0,1.38188505,2128.15674,0.231970876,0,-54.2745171,0.934111536,0.099229015,0.067107499,311.230988,0.257066786,0,1.66954494,0
68400,1956.36792,1719.60278,62.4889984,33.2654991,0.005487594,305.098267,0,1.17989337,2115.82642,0.228242666,0,-41.5519981,0.765673697,0.093480855,0.063135855,310.779205,0.24955447,0,1.40819097,0
72000,1956.36792,1719.60278,62.4889984,31.7998657,0.007535204,304.083313,0,1.28821623,2096.97925,0.264602005,0,-11.733613,0.851066351,0.11804451,0.069645219,310.084808,0.280417651,0,1.54576552,0
75600,1956.36792,1719.60278,62.4889984,31.8970928,0.004703931,303.041016,0,0.50658232,2064.38477,0.300227106,0,5.64651251,0.437727362,0.095147051,-0.016058868,308.872803,0.25180909,0,0.66970998,0
79200,1956.36792,1719.60278,62.4889984,30.9982319,0.00308211,301.647308,0,0.328809023,2038.71411,0.313255161,0,21.007349,0.309748083,0.077029795,-0.040361486,307.908081,0.226576701,0,0.453549296,0
82800,1956.36792,1719.60278,62.4889984,29.0681782,0.001441765,298.857574,0,0.19435668,2010.24304,0.080838502,0,19.350029,0.121748805,0.036277056,-0.214286819,306.827423,0.155288458,0,0.316401124,0
86400,1956.36792,1719.60278,62.4889984,29.0566406,0.001193781,299.014191,0,0.200270966,1979.69971,0.184087321,0,19.6399689,0.098331019,0.043679368,-0.068605639,305.655273,0.170618057,0,0.234080657,0
