Solution Time,CoordinateX,CoordinateY,CoordinateZ,udm-3,Turbulent Energy Dissipation,Temperature,solar-heat-flux,X-component-velocity,incident-radiation,viscosity-eff,Y Plus,Pressure,Y-component-velocity,Turbulent Kinetic Energy,Z-component-velocity,,turb-intensity,udm-1,Magnitude Velocity,udm-2
3600,2007.703,1742.72205,62.2066689,24.0152493,0.005845743,297.143127,0,0,1810.99768,0.002320371,72.1699142,35.0159264,0,0.005159048,0,298.92453,0.058520101,0,0,0
7200,2007.703,1742.72205,62.2066689,22.2504101,0.005187409,297.365906,0,0,1769.81055,0.001753105,92.4856644,27.4439182,0,0.004769798,0,297.210236,0.056227785,0,0,0
10800,2007.703,1742.72205,62.2066689,22.0582657,0.008292563,296.743683,0,0,1768.04919,0.002470188,88.8031311,38.947525,0,0.006521952,0,297.136292,0.065844156,0,0,0
14400,2007.703,1742.72205,62.2066689,20.6565952,0.003799121,296.60025,0,0,1752.62769,0.001304501,104.615974,16.1968555,0,0.003880335,0,296.486237,0.050817467,0,0,0
18000,2007.703,1742.72205,62.2066689,21.3275299,0.003294921,296.343903,0,0,1747.35852,0.001586274,76.1335373,14.6375914,0,0.003493869,0,296.263123,0.048044175,0,0,0
21600,2007.703,1742.72205,62.2066689,21.5704021,0.004071428,296.211029,0,0,1741.57141,0.00198505,72.0695038,25.3466682,0,0.004038988,0,296.017517,0.051684294,0,0,0
25200,2007.703,1742.72205,62.2066689,21.7593002,0.004482253,296.363983,29.9679966,0,1743.58167,0.001920199,76.6934814,32.9540863,0,0.00431491,0,296.102905,0.053439863,0,0,0
28800,2007.703,1742.72205,62.2066689,22.7096157,0.002907881,297.589447,112.729301,0,1760.0675,0.001284542,88.4326477,22.5233822,0,0.003238417,0,296.800354,0.046448838,0,0,0
32400,2007.703,1742.72205,62.2066689,25.0437088,0.003505133,299.67981,171.452744,0,1801.91284,0.00169404,83.8164444,-4.1433363,0,0.003682876,0,298.54892,0.049616199,0,0,0
36000,2007.703,1742.72205,62.2066689,27.0656948,0.002080176,302.096344,163.11351,0,1856.97437,0.001229722,78.3986588,-58.238842,0,0.002604234,0,300.803986,0.041672058,0,0,0
39600,2007.703,1742.72205,62.2066689,29.1661186,0.011228799,303.884796,90.9702835,0,1918.16907,0.002736922,98.0067902,-88.1924438,0,0.007960887,0,303.252075,0.07286872,0,0,0
43200,2007.703,1742.72205,62.2066689,30.959259,0.003587978,305.343658,19.0666046,0,1970.20703,0.001227592,93.736496,-68.9899368,0,0.003716285,0,305.288208,0.049246036,0,0,0
46800,2007.703,1742.72205,62.2066689,32.1295509,0.004743761,306.401978,20.352972,0,2021.50208,0.001611425,103.734528,-87.744339,0,0.00450627,0,307.256165,0.05479227,0,0,0
50400,2007.703,1742.72205,62.2066689,33.1336708,0.026036292,306.959259,20.0071163,0,2051.29199,0.003614133,108.098808,-80.7241898,0,0.014020113,0,308.381897,0.096696675,0,0,0
54000,2007.703,1742.72205,62.2066689,33.9538994,0.017135793,307.646118,17.1981449,0,2061.8623,0.003031018,89.0739594,-84.150032,0,0.010594407,0,308.77829,0.083962068,0,0,0
57600,2007.703,1742.72205,62.2066689,35.2064285,0.007880276,308.237427,12.8634453,0,2069.94189,0.002395265,58.5020218,-67.1837997,0,0.006317537,0,309.080292,0.06489075,0,0,0
61200,2007.703,1742.72205,62.2066689,34.8580589,0.009146699,308.294464,8.16952515,0,2068.6792,0.002789978,77.5790176,-69.2048492,0,0.00697495,0,309.03299,0.068170413,0,0,0
64800,2007.703,1742.72205,62.2066689,34.678154,0.014199308,307.9151,3.84547758,0,2057.21729,0.003110231,65.6396027,-54.0323486,0,0.009359312,0,308.603912,0.078993268,0,0,0
68400,2007.703,1742.72205,62.2066689,33.9878502,0.012116833,307.633667,1.0737561,0,2038.93982,0.003244147,73.2206345,-41.6386261,0,0.008417657,0,307.91626,0.074899375,0,0,0
72000,2007.703,1742.72205,62.2066689,33.8679123,0.022709863,307.067627,0.059340999,0,2020.54724,0.004076797,51.0031929,-11.8617687,0,0.012791658,0,307.219543,0.092324808,0,0,0
75600,2007.703,1742.72205,62.2066689,30.592804,0.012154832,306.242401,0.000129651,0,1994.60083,0.002960837,103.014435,5.40916777,0,0.008419758,0,306.228607,0.074829675,0,0,0
79200,2007.703,1742.72205,62.2066689,29.0071297,0.011661922,305.425415,0,0,1964.06067,0.002702467,106.341408,20.7310791,0,0.008197791,0,305.049591,0.073864609,0,0,0
82800,2007.703,1742.72205,62.2066689,27.5206718,0.013731003,304.539307,0,0,1937.99268,0.002601027,123.713097,19.4737968,0,0.009153655,0,304.032379,0.078135863,0,0,0
86400,2007.703,1742.72205,62.2066689,27.4044094,0.019277031,303.676361,0,0,1916.27563,0.003234079,101.297943,19.527298,0,0.011467203,0,303.177124,0.08739274,0,0,0
