Datetime,Wind Direction (deg)
2024-07-20 00:00:00,238.0
2024-07-20 01:00:00,247.0
2024-07-20 02:00:00,307.0
2024-07-20 03:00:00,278.0
2024-07-20 04:00:00,304.0
2024-07-20 05:00:00,294.0
2024-07-20 06:00:00,294.0
2024-07-20 07:00:00,295.0
2024-07-20 08:00:00,270.0
2024-07-20 09:00:00,264.0
2024-07-20 10:00:00,228.0
2024-07-20 11:00:00,206.0
2024-07-20 12:00:00,201.0
2024-07-20 13:00:00,190.0
2024-07-20 14:00:00,187.0
2024-07-20 15:00:00,204.0
2024-07-20 16:00:00,186.0
2024-07-20 17:00:00,210.0
2024-07-20 18:00:00,215.0
2024-07-20 19:00:00,212.0
2024-07-20 20:00:00,220.0
2024-07-20 21:00:00,227.0
2024-07-20 22:00:00,230.0
2024-07-20 23:00:00,228.0
