[Name]
airtemp-K
[Data]
time,temperature
0,289.84999999999997
3600,289.34999999999997
7200,290.15
10800,290.25
14400,290.45
18000,290.04999999999995
21600,290.34999999999997
25200,290.34999999999997
28800,291.15
32400,291.65
36000,292.25
39600,292.95
43200,293.54999999999995
46800,293.54999999999995
50400,293.34999999999997
54000,294.15
57600,293.54999999999995
61200,293.45
64800,292.75
68400,291.95
72000,291.04999999999995
75600,290.34999999999997
79200,290.25
82800,290.04999999999995
86400,290.04999999999995
