[Name]
y-component
[Data]
time,velocity
0,0.526045376146893
3600,0.526045376146893
7200,0.526045376146893
10800,-0.15910719833449796
14400,-0.35985988120552653
18000,-0.2346516975603462
21600,-0.3897630540216869
25200,-0.045563231806042916
28800,-0.634750061065851
32400,0.6035328449478581
36000,1.3831358000759326
39600,2.2381590629444044
43200,2.309589671336247
46800,2.982270806866061
50400,2.7474966026304437
54000,3.2733861161179685
57600,2.9630650217854133
61200,2.3120061237074485
64800,2.047677440566157
68400,1.7492394142787915
72000,1.9805361374831407
75600,1.063950615443025
79200,1.3415636476237058
82800,0.9784316084562957
86400,0.9784316084562957
