Datetime,Wind Direction (deg)
2024-06-21 00:00:00,94.0
2024-06-21 01:00:00,94.0
2024-06-21 02:00:00,94.0
2024-06-21 03:00:00,49.0
2024-06-21 04:00:00,313.0
2024-06-21 05:00:00,319.0
2024-06-21 06:00:00,308.0
2024-06-21 07:00:00,309.0
2024-06-21 08:00:00,291.0
2024-06-21 09:00:00,300.0
2024-06-21 10:00:00,281.0
2024-06-21 11:00:00,288.0
2024-06-21 12:00:00,293.0
2024-06-21 13:00:00,211.0
2024-06-21 14:00:00,204.0
2024-06-21 15:00:00,213.0
2024-06-21 16:00:00,210.0
2024-06-21 17:00:00,182.0
2024-06-21 18:00:00,151.0
2024-06-21 19:00:00,131.0
2024-06-21 20:00:00,133.0
2024-06-21 21:00:00,124.0
2024-06-21 22:00:00,99.0
2024-06-21 23:00:00,87.0
